internship_id,title,company,location,required_skills,description,stipend,duration
INT-001,Machine Learning Intern,Google DeepMind,Bangalore,"Python,TensorFlow,Machine Learning,NLP,Research","Work alongside researchers to develop and evaluate large-scale NLP models. You will design experiments, preprocess datasets, and implement baseline models.",₹80000/month,3 months
INT-002,Data Science Intern,Microsoft Research,Hyderabad,"Python,Pandas,SQL,Data Analysis,Statistics,Power BI","Conduct exploratory data analysis on telemetry datasets, build predictive models to forecast user engagement, and present insights to product teams.",₹70000/month,6 months
INT-003,Software Engineering Intern,Amazon,Bangalore,"Java,Python,REST API,System Design,Git,Agile","Build microservices for Amazons logistics platform. Collaborate with a team of engineers to design APIs that serve millions of customers daily.",₹75000/month,6 months
INT-004,Deep Learning Research Intern,NVIDIA,Pune,"Python,PyTorch,Deep Learning,CUDA,Computer Vision","Develop novel deep learning architectures for real-time object detection. Work on GPU-optimized training pipelines using CUDA and PyTorch.",₹90000/month,3 months
INT-005,NLP Engineer Intern,Anthropic,Remote,"Python,Transformers,Hugging Face,NLP,BERT,PyTorch","Fine-tune large language models for instruction following. Evaluate alignment techniques and contribute to safety research benchmarks.",₹100000/month,3 months
INT-006,Backend Developer Intern,Swiggy,Bangalore,"Node.js,Python,PostgreSQL,Redis,Docker,REST API","Design and implement scalable backend services for Swiggys food delivery platform. Optimize database queries and improve API latency.",₹50000/month,2 months
INT-007,Data Engineering Intern,Zomato,Gurgaon,"Python,Apache Spark,SQL,ETL,Airflow,Data Warehousing","Build and maintain ETL pipelines that process millions of order events daily. Develop data quality checks and optimize Spark jobs.",₹55000/month,4 months
INT-008,Full Stack Developer Intern,Razorpay,Bangalore,"React,Node.js,MongoDB,JavaScript,TypeScript,REST API","Work on Razorpays payment dashboard, implement new UI components in React, and build backend APIs. Collaborate closely with designers.",₹60000/month,3 months
INT-009,AI Research Intern,IIT Bombay AI Lab,Mumbai,"Python,Machine Learning,Research,TensorFlow,Scikit-learn,Statistics","Assist faculty in cutting-edge ML research on graph neural networks. Implement algorithms, run ablation studies, and co-author papers.",Stipend + Accommodation,6 months
INT-010,DevOps Intern,Infosys,Chennai,"Docker,Kubernetes,AWS,Linux,CI/CD,Terraform","Automate deployment pipelines for cloud-native applications using Kubernetes and Terraform. Monitor infrastructure and reduce downtime.",₹40000/month,6 months
INT-011,Computer Vision Intern,Ola Electric,Bangalore,"Python,OpenCV,Deep Learning,Computer Vision,TensorFlow,YOLO","Develop real-time obstacle detection systems for Ola's electric scooters using camera sensors and custom-trained YOLO models.",₹65000/month,4 months
INT-012,Product Analytics Intern,CRED,Bangalore,"SQL,Python,Data Analysis,Google Analytics,A/B Testing,Tableau","Analyse user funnel data to identify drop-off points. Run A/B tests on new features and deliver weekly reports to the product team.",₹45000/month,3 months
INT-013,Generative AI Intern,Adobe India,Noida,"Python,Generative AI,Stable Diffusion,PyTorch,LLM,Prompt Engineering","Explore generative image models for Adobes creative suite. Experiment with fine-tuning diffusion models and prompt engineering strategies.",₹85000/month,3 months
INT-014,Cybersecurity Intern,Cisco Systems,Bangalore,"Network Security,Python,Penetration Testing,Linux,Cryptography","Perform vulnerability assessments on network infrastructure. Develop scripts to automate security scanning and report findings.",₹60000/month,6 months
INT-015,Android Developer Intern,PhonePe,Bangalore,"Android Development,Kotlin,Java,REST API,Git","Build new features for PhonePes Android app used by 500M+ users. Work with senior engineers on performance optimization and crash reduction.",₹55000/month,3 months
INT-016,Cloud Engineering Intern,Wipro,Hyderabad,"AWS,Azure,Docker,Terraform,Python,Linux","Assist in migrating on-premise workloads to AWS and Azure. Implement infrastructure-as-code using Terraform and automate routine ops tasks.",₹40000/month,6 months
INT-017,Data Analyst Intern,Meesho,Bangalore,"SQL,Excel,Python,Tableau,Data Analysis,Communication","Analyse seller performance metrics and build dashboards. Produce weekly reports with actionable insights for the growth and supply teams.",₹35000/month,3 months
INT-018,IoT Software Intern,Bosch India,Coimbatore,"Python,C++,IoT,Embedded Systems,MQTT,REST API","Develop firmware and application code for industrial IoT sensors. Integrate device data with cloud platforms using MQTT and REST APIs.",₹45000/month,6 months
INT-019,Blockchain Developer Intern,Polygon Technology,Remote,"Solidity,Blockchain,Web3,Python,Smart Contracts,Ethereum","Develop and audit Solidity smart contracts on Polygon. Contribute to the Layer-2 ecosystem by building DeFi components.",₹70000/month,3 months
INT-020,ML Ops Intern,Flipkart,Bangalore,"Python,MLOps,Docker,Kubernetes,Airflow,AWS,CI/CD","Maintain and improve the ML model serving infrastructure at Flipkart. Build automated retraining pipelines and monitor model drift.",₹60000/month,4 months
INT-021,Research Intern – NLP,Samsung R&D,Bangalore,"Python,NLP,BERT,Transformers,Hugging Face,Research","Conduct research on multilingual NLP models for Samsung's Bixby assistant. Fine-tune models on low-resource Indian languages.",₹55000/month,6 months
INT-022,Business Intelligence Intern,Ola Cabs,Gurgaon,"SQL,Power BI,Tableau,Data Analysis,Excel,Communication","Build BI dashboards for operations and driver performance. Write complex SQL queries and automate reporting workflows.",₹35000/month,3 months
INT-023,Frontend Developer Intern,Dunzo,Bangalore,"React,TypeScript,CSS,HTML,Git,REST API","Develop and maintain features on Dunzos customer-facing web app. Work closely with UX designers to implement pixel-perfect interfaces.",₹40000/month,3 months
INT-024,Robotics Software Intern,AgniKul Cosmos,Chennai,"Python,ROS,C++,Robotics,Embedded Systems,Control Systems","Develop autonomous guidance software for AgniKuls reusable rocket using ROS. Implement control algorithms and run hardware-in-the-loop simulations.",₹50000/month,6 months
INT-025,Speech AI Intern,Sarvam AI,Bangalore,"Python,Speech Recognition,NLP,PyTorch,Transformers,Deep Learning","Train and fine-tune speech recognition and TTS models for Indian languages. Evaluate models on custom benchmarks and improve WER.",₹75000/month,3 months
INT-026,Quantitative Analyst Intern,Zerodha,Bangalore,"Python,Statistics,SQL,Data Analysis,Machine Learning,Excel","Analyse large trading datasets, develop statistical models for risk management, and backtest algorithmic trading strategies.",₹50000/month,3 months
INT-027,Augmented Reality Intern,Jio Platforms,Mumbai,"Unity,AR/VR,C#,Python,3D Modelling,REST API","Build AR experiences for JioGlass using Unity. Develop 3D interactive modules for education and enterprise use cases.",₹45000/month,4 months
INT-028,Site Reliability Engineering Intern,PayTM,Noida,"Linux,Python,Kubernetes,AWS,CI/CD,Monitoring","Improve reliability and observability of PayTMs payment infrastructure. Implement alerting systems and reduce MTTR for production incidents.",₹55000/month,6 months
INT-029,Data Science Intern,Myntra,Bangalore,"Python,Machine Learning,Scikit-learn,Pandas,SQL,Recommendation Systems","Build and evaluate collaborative filtering models for Myntra's personalised fashion recommendation engine. Work on feature engineering and model evaluation.",₹60000/month,3 months
INT-030,GenAI Application Intern,Hasura,Remote,"Python,LLM,LangChain,RAG,Prompt Engineering,REST API,PostgreSQL","Build real-world LLM applications using LangChain and RAG architectures. Integrate LLM-powered features with Hasuras GraphQL engine.",₹80000/month,3 months