internship_id,title,company,location,country,location_type,description,required_skills,preferred_skills,domain,duration_months,stipend_usd,experience_level
INT-001,Machine Learning Research Intern,Nexora AI Labs,"San Francisco, CA",United States,Remote,"Work alongside senior researchers to develop and evaluate novel ML algorithms. You will implement baseline models, run experiments, and analyze results on large datasets. Contribute to internal research papers and present findings to the team. Gain hands-on experience with cutting-edge deep learning frameworks.",Python|TensorFlow|PyTorch|NumPy|scikit-learn,Jupyter|Git|LaTeX,Machine Learning,3,2200,Intermediate
INT-002,Data Science Intern,Prism Analytics,"Austin, TX",United States,Hybrid,"Analyze complex datasets to extract actionable business insights for clients. Build dashboards and reports using visualization tools and statistical methods. Collaborate with the product team to define KPIs and tracking metrics. Present findings in weekly stakeholder meetings.",Python|SQL|Pandas|Matplotlib|Statistics,Tableau|Power BI|R,Data Science,4,1800,Beginner
INT-003,Backend Software Engineering Intern,CloudBridge Systems,"Berlin, Germany",Germany,On-site,"Design and implement RESTful APIs for a SaaS platform serving enterprise clients. Write unit and integration tests to maintain code quality standards. Participate in code reviews and agile sprint ceremonies. Contribute to system architecture discussions with senior engineers.",Python|REST API|SQL|Git|Docker,Kubernetes|PostgreSQL|Redis,Software Engineering,6,1500,Intermediate
INT-004,Frontend Web Development Intern,PixelForge Studio,"Toronto, Ontario",Canada,Hybrid,"Build responsive and accessible UI components for a consumer-facing web application. Collaborate with designers to translate Figma mockups into clean React code. Optimize frontend performance and ensure cross-browser compatibility. Write unit tests using Jest and maintain component documentation.",JavaScript|React|HTML|CSS|Git,TypeScript|Figma|Jest,Web Development,3,1600,Beginner
INT-005,NLP Research Intern,LinguaCore Technologies,"London, England",United Kingdom,Remote,"Develop and fine-tune transformer-based models for text classification and named entity recognition tasks. Preprocess and annotate large-scale text corpora for training pipelines. Evaluate model performance using standard NLP benchmarks. Collaborate with the applied research team on production deployment strategies.",Python|Hugging Face Transformers|spaCy|PyTorch|NLTK,BERT|FastAPI|Docker,NLP,4,2500,Advanced
INT-006,Computer Vision Intern,OptiSense Robotics,"Osaka, Japan",Japan,On-site,"Develop image segmentation and object detection models for industrial automation systems. Annotate and preprocess image datasets for model training pipelines. Integrate vision models into embedded hardware prototypes. Write technical documentation for algorithms and deployment procedures.",Python|OpenCV|PyTorch|TensorFlow|NumPy,CUDA|ROS|C++,Computer Vision,5,1800,Intermediate
INT-007,DevOps Engineering Intern,StackNova Infrastructure,"Amsterdam, Netherlands",Netherlands,Hybrid,"Maintain and improve CI/CD pipelines for a microservices-based platform. Monitor system health using observability tools and respond to incidents. Automate infrastructure provisioning using IaC tools. Collaborate with development teams to streamline deployment workflows.",Linux|Docker|Kubernetes|Git|Bash,Terraform|Jenkins|Prometheus,DevOps,4,1700,Intermediate
INT-008,Cybersecurity Analyst Intern,ShieldTech Security,"Canberra, ACT",Australia,On-site,"Assist the security operations team in monitoring network traffic for anomalies and threats. Conduct vulnerability assessments on internal systems and document findings. Support incident response procedures and maintain security logs. Research emerging threat vectors and contribute to internal threat intelligence reports.",Networking|Linux|Wireshark|SIEM Tools|Python,Metasploit|Nmap|Splunk,Cybersecurity,3,2000,Beginner
INT-009,Product Management Intern,Vantage Product Studio,"New York, NY",United States,Hybrid,"Support the product team in conducting user research and competitive analysis. Write product requirement documents and user stories for engineering teams. Analyze product usage metrics to identify areas for improvement. Coordinate cross-functional meetings between design, engineering, and marketing teams.",Product Thinking|Data Analysis|Communication|Jira|Excel,SQL|Figma|Notion,Product Management,3,2200,Beginner
INT-010,Data Engineering Intern,FlowData Systems,"Bangalore, Karnataka",India,Remote,"Build and maintain ETL pipelines to ingest and transform data from multiple sources. Optimize SQL queries and data warehouse schemas for performance. Monitor pipeline health and resolve data quality issues. Collaborate with data scientists to ensure clean and reliable data delivery.",Python|SQL|Apache Spark|Airflow|ETL,dbt|Snowflake|BigQuery,Data Engineering,4,900,Intermediate
INT-011,AI Research Intern,DeepMind Ventures,"Paris, Île-de-France",France,Remote,"Investigate reinforcement learning approaches for sequential decision-making problems. Implement and benchmark research algorithms against state-of-the-art baselines. Contribute to academic paper writing and internal research presentations. Work closely with senior scientists in a collaborative research environment.",Python|PyTorch|Reinforcement Learning|NumPy|Git,JAX|LaTeX|Weights & Biases,Research,5,2800,Advanced
INT-012,Finance Technology Intern,QuantEdge Capital,Singapore,Singapore,On-site,"Develop quantitative models for portfolio risk assessment and optimization. Build automated reporting tools for trading performance analytics. Collaborate with quant analysts to backtest algorithmic trading strategies. Maintain and improve financial data pipelines and dashboards.",Python|SQL|Excel|Statistics|Pandas,R|Bloomberg API|MATLAB,Finance Tech,4,2400,Intermediate
INT-013,ML Ops Intern,Iterative AI Platform,"Seattle, WA",United States,Remote,"Support the MLOps team in building model deployment and monitoring pipelines. Containerize machine learning models using Docker and deploy to cloud infrastructure. Set up experiment tracking and model versioning systems. Write scripts to automate model retraining and evaluation workflows.",Python|Docker|MLflow|Git|Linux,Kubernetes|AWS|FastAPI,Machine Learning,3,2100,Intermediate
INT-014,Business Intelligence Intern,ClearMetrics Analytics,"Zurich, Zurich",Switzerland,Hybrid,"Design and maintain BI dashboards for executive reporting across business units. Write complex SQL queries to extract and transform data from enterprise data warehouses. Collaborate with business stakeholders to define reporting requirements. Document data models and business metric definitions.",SQL|Power BI|Excel|Data Modeling|Communication,Tableau|Python|DAX,Data Science,3,2000,Beginner
INT-015,Full Stack Developer Intern,NexaLoop Technologies,"Dublin, Leinster",Ireland,Hybrid,"Build new features for a B2B SaaS application across the full stack. Implement backend services using Node.js and frontend components using React. Write automated tests and participate in peer code review processes. Collaborate with the product manager to clarify requirements and estimate effort.",JavaScript|React|Node.js|SQL|Git,TypeScript|Docker|REST API,Software Engineering,4,1800,Intermediate
INT-016,React Developer Intern,BrightPath Digital,"Vancouver, British Columbia",Canada,Remote,"Develop modular and reusable React components for a digital health platform. Integrate frontend with RESTful APIs and manage application state using Redux. Ensure accessibility compliance and write comprehensive unit tests. Participate in design reviews and contribute to improving the component library.",JavaScript|React|Redux|HTML|CSS,TypeScript|Accessibility|Storybook,Web Development,3,1500,Beginner
INT-017,Conversational AI Intern,DialogFlow Labs,"Stockholm, Stockholm",Sweden,Remote,"Build and evaluate dialogue systems using pre-trained language models. Design intent classification and entity extraction pipelines for chatbot applications. Conduct error analysis on model outputs and implement improvements. Collaborate with the product team to define conversational flows and user experience.",Python|NLP|Rasa|Hugging Face Transformers|spaCy,BERT|FastAPI|SQL,NLP,4,2200,Intermediate
INT-018,Vision Systems Intern,NeuroVision Research,"Tel Aviv, Tel Aviv District",Israel,On-site,"Research and implement deep learning architectures for medical image analysis. Process and augment large-scale radiology imaging datasets. Evaluate model performance against clinical benchmarks and document findings. Work alongside medical imaging experts and ML engineers in a multidisciplinary team.",Python|TensorFlow|OpenCV|NumPy|Medical Imaging,PyTorch|DICOM|scikit-learn,Computer Vision,6,2300,Advanced
INT-019,Site Reliability Intern,InfraCore Solutions,"Munich, Bavaria",Germany,Hybrid,"Support the SRE team in improving system reliability and reducing mean time to recovery. Write runbooks and automate operational tasks using Python and Bash scripts. Contribute to capacity planning and performance benchmarking activities. Monitor production systems and participate in on-call rotations under supervision.",Linux|Python|Bash|Monitoring Tools|Git,Prometheus|Grafana|Kubernetes,DevOps,4,1600,Intermediate
INT-020,Penetration Testing Intern,RedGuard Security,"Tel Aviv, Tel Aviv District",Israel,On-site,"Perform authorized penetration tests on web applications and network infrastructure. Document vulnerabilities and write detailed remediation reports. Assist senior pentesters in red team exercises and CTF challenges. Research and stay updated on the latest offensive security techniques.",Linux|Networking|Burp Suite|Python|Ethical Hacking,Metasploit|OWASP|Kali Linux,Cybersecurity,3,2100,Intermediate
INT-021,Product Analytics Intern,GrowthLens Product Co,"Chicago, IL",United States,Hybrid,"Analyze user behavior funnels and retention metrics to inform product decisions. Set up A/B testing frameworks and interpret statistical results for the product team. Build self-serve analytics dashboards for product managers. Collaborate with engineering to ensure proper event tracking instrumentation.",SQL|Python|Analytics|Statistics|Excel,Mixpanel|Amplitude|Tableau,Product Management,3,2000,Intermediate
INT-022,Streaming Data Intern,PulseStream Technologies,"Hyderabad, Telangana",India,Remote,"Develop real-time data ingestion pipelines using Apache Kafka and Spark Streaming. Monitor pipeline latency and throughput and optimize for performance. Write unit tests for pipeline components and maintain technical documentation. Collaborate with backend engineers to define data schemas and APIs.",Python|Apache Kafka|Apache Spark|SQL|Git,Flink|Scala|Docker,Data Engineering,5,800,Intermediate
INT-023,NLP Data Annotation Lead Intern,TextMind AI,"Seoul, Seoul",South Korea,Remote,"Develop annotation guidelines for named entity recognition and relation extraction datasets. Manage a team of crowd-source annotators and perform quality control. Analyze inter-annotator agreement and resolve labeling conflicts. Contribute to research publications on dataset creation methodologies.",NLP|Python|Data Annotation|Statistics|Communication,Prodigy|Label Studio|Excel,NLP,4,1400,Beginner
INT-024,Autonomous Driving Vision Intern,AutoAxis Labs,"Detroit, MI",United States,On-site,"Develop and optimize object detection and lane segmentation models for autonomous driving applications. Preprocess LiDAR and camera sensor fusion datasets. Evaluate model robustness under adverse weather conditions. Collaborate with the perception engineering team on real-world testing protocols.",Python|OpenCV|PyTorch|Sensor Fusion|NumPy,CUDA|ROS|Point Cloud Processing,Computer Vision,6,3000,Advanced
INT-025,Cloud Infrastructure Intern,NimbusOps Cloud,"Dubai, Dubai",United Arab Emirates,Remote,"Provision and manage cloud resources on AWS and GCP using Terraform. Build and maintain automated deployment pipelines for containerized applications. Monitor cloud costs and implement optimization recommendations. Write infrastructure-as-code modules and maintain internal documentation.",AWS|Terraform|Docker|Kubernetes|Linux,Python|GCP|Azure,DevOps,4,1800,Beginner
INT-026,Threat Intelligence Intern,CyberVault Research,"London, England",United Kingdom,Remote,"Research emerging cybersecurity threats and compile threat intelligence reports. Analyze malware samples in sandboxed environments and document behaviors. Contribute to internal knowledge bases and threat hunting playbooks. Present findings to the security operations team in weekly briefings.",Python|OSINT|Malware Analysis|Networking|Linux,YARA|Splunk|Threat Hunting,Cybersecurity,3,1700,Beginner
INT-027,Junior Product Designer Intern,Forma UX Studio,"Barcelona, Catalonia",Spain,Hybrid,"Conduct user interviews and synthesize findings into actionable product insights. Create wireframes and interactive prototypes for new product features. Collaborate with engineering teams to ensure feasible and consistent implementation. Maintain and contribute to the product design system.",Figma|User Research|Prototyping|Communication|Wireframing,Notion|Jira|Accessibility,Product Management,3,1200,Beginner
INT-028,Data Warehouse Intern,Helix Data Solutions,"Warsaw, Masovian",Poland,On-site,"Design and build dimensional data models for business intelligence use cases. Write optimized SQL queries and stored procedures for reporting pipelines. Collaborate with BI analysts to understand data requirements. Perform data quality checks and document data lineage.",SQL|Data Warehousing|ETL|Data Modeling|Excel,Snowflake|dbt|Python,Data Engineering,4,900,Beginner
INT-029,Multimodal Learning Intern,FusionAI Research,"Zurich, Zurich",Switzerland,Remote,"Research and implement multimodal deep learning architectures combining vision and language. Run controlled experiments and maintain reproducible research pipelines. Contribute to technical reports and academic paper submissions. Engage in weekly research reviews with the core science team.",Python|PyTorch|Computer Vision|NLP|Research Methods,JAX|Hugging Face Transformers|LaTeX,Research,6,3000,Advanced
INT-030,Algorithmic Trading Intern,PeakQuant Finance,"Hong Kong",Hong Kong,On-site,"Develop and backtest quantitative trading strategies using historical market data. Build data pipelines to ingest and clean financial time series data. Collaborate with portfolio managers to refine signal generation models. Maintain codebase documentation and version control practices.",Python|Statistics|Pandas|SQL|Financial Modeling,R|Backtesting|MATLAB,Finance Tech,4,2800,Advanced
INT-031,Deep Learning Intern,SynapseNet AI,"Toronto, Ontario",Canada,Remote,"Implement and evaluate state-of-the-art deep learning architectures for tabular and sequential data. Design experiments to compare model configurations and document results. Contribute to internal ML tooling and automation scripts. Present weekly progress updates to the research engineering team.",Python|PyTorch|Deep Learning|NumPy|Git,TensorFlow|scikit-learn|Weights & Biases,Machine Learning,4,2000,Intermediate
INT-032,Statistical Modeling Intern,Axiom Data Science,"Melbourne, Victoria",Australia,Hybrid,"Build statistical models to forecast customer churn and lifetime value. Validate model assumptions and perform sensitivity analyses. Create clear visualizations and reports to communicate findings to non-technical stakeholders. Collaborate with the data engineering team to access and prepare datasets.",R|Python|Statistics|SQL|Data Visualization,Bayesian Modeling|Excel|Tableau,Data Science,3,1700,Intermediate
INT-033,Systems Software Intern,CoreEdge Technologies,"Shenzhen, Guangdong",China,On-site,"Develop low-level system utilities and performance optimization tools in C++. Profile application performance and identify bottlenecks. Write comprehensive documentation and unit tests for new modules. Collaborate with the platform team in daily standups and design reviews.",C++|Linux|Git|Systems Programming|Debugging,Python|CMake|Valgrind,Software Engineering,5,1400,Advanced
INT-034,E-commerce Frontend Intern,ShopSphere Digital,"Mumbai, Maharashtra",India,Remote,"Build fast and responsive product pages and checkout flows for a high-traffic e-commerce platform. Integrate frontend components with REST APIs and ensure mobile-first design. Optimize page load performance and Core Web Vitals scores. Collaborate with backend engineers and UX designers on feature releases.",JavaScript|React|HTML|CSS|REST API,Next.js|TypeScript|Git,Web Development,3,700,Beginner
INT-035,Text Summarization Intern,BriefAI Technologies,"Austin, TX",United States,Remote,"Develop abstractive and extractive summarization models for long-form documents. Fine-tune pre-trained transformer models on domain-specific corpora. Evaluate output quality using ROUGE and human evaluation protocols. Collaborate with the applied NLP team to deploy models to production APIs.",Python|Hugging Face Transformers|PyTorch|NLP|Git,ROUGE Evaluation|FastAPI|Docker,NLP,4,2300,Intermediate
INT-036,3D Vision Intern,DepthSense Labs,"Vancouver, British Columbia",Canada,On-site,"Research and implement 3D point cloud processing algorithms for spatial mapping. Develop depth estimation models using stereo camera inputs. Benchmark algorithms against standard 3D vision datasets. Write technical documentation and contribute to research presentations.",Python|OpenCV|PyTorch|Point Cloud Processing|NumPy,Open3D|CUDA|ROS,Computer Vision,5,2100,Advanced
INT-037,Infrastructure Automation Intern,AutoStack DevOps,Singapore,Singapore,Hybrid,"Automate server provisioning and configuration management using Ansible and Terraform. Build monitoring dashboards for infrastructure health metrics. Assist in migrating legacy systems to containerized deployments. Document runbooks and standard operating procedures for the ops team.",Linux|Ansible|Terraform|Docker|Bash,Kubernetes|Python|AWS,DevOps,3,1600,Beginner
INT-038,AppSec Intern,FortifyLabs Security,"Stockholm, Stockholm",Sweden,On-site,"Review source code for security vulnerabilities across web and mobile applications. Integrate SAST and DAST tools into CI/CD pipelines. Write detailed vulnerability reports with remediation recommendations. Stay current on OWASP Top 10 and emerging application security threats.",Python|OWASP|SAST Tools|Networking|Git,Burp Suite|Docker|Java,Cybersecurity,4,1900,Intermediate
INT-039,Growth Product Intern,Velocity Growth Labs,"New York, NY",United States,Hybrid,"Run growth experiments to optimize user acquisition and activation funnels. Analyze cohort data and build predictive models for user retention. Collaborate with marketing and engineering to implement growth features. Document experiment results and present recommendations to leadership.",SQL|Analytics|Excel|Communication|A/B Testing,Python|Amplitude|Notion,Product Management,3,2400,Intermediate
INT-040,Lakehouse Engineering Intern,DataNest Solutions,"Amsterdam, Netherlands",Netherlands,Remote,"Build and maintain a data lakehouse using Delta Lake and Apache Spark. Implement data governance policies and access control frameworks. Monitor data freshness and pipeline reliability using automated alerts. Collaborate with analytics engineers on dbt transformations and data models.",Python|Apache Spark|SQL|Delta Lake|Git,dbt|Databricks|Airflow,Data Engineering,4,1700,Intermediate
INT-041,Federated Learning Intern,PrivacyAI Research,"Berlin, Germany",Germany,Remote,"Research privacy-preserving machine learning techniques including federated learning and differential privacy. Implement and evaluate federated training algorithms on simulated distributed datasets. Write research summaries and contribute to internal technical reports. Present results to the privacy engineering team.",Python|PyTorch|Federated Learning|Statistics|Git,TensorFlow Federated|Differential Privacy|NumPy,Research,5,2600,Advanced
INT-042,Credit Risk Intern,NovaBanc FinTech,"Warsaw, Masovian",Poland,Hybrid,"Build machine learning models to predict default risk for consumer lending products. Perform feature engineering on financial transaction data. Validate models using regulatory backtesting frameworks. Collaborate with the risk analytics team to interpret and communicate model outputs.",Python|SQL|Statistics|Pandas|Machine Learning,R|Excel|Credit Scoring,Finance Tech,4,1100,Intermediate
INT-043,Recommendation Systems Intern,FeedRank AI,"San Jose, CA",United States,Remote,"Develop collaborative filtering and content-based recommendation algorithms for a media platform. Conduct offline and online A/B evaluation of recommendation quality. Optimize model serving latency for real-time inference. Collaborate with the data platform team on feature store integration.",Python|Machine Learning|SQL|NumPy|Git,TensorFlow|Spark|Redis,Machine Learning,4,2800,Advanced
INT-044,Healthcare Data Intern,MedInsight Analytics,"Boston, MA",United States,On-site,"Analyze electronic health records data to identify clinical patterns and risk factors. Build predictive models for patient readmission and disease progression. Ensure all analyses comply with HIPAA data privacy requirements. Collaborate with clinical researchers to interpret and validate findings.",Python|SQL|Statistics|Pandas|Healthcare Data,R|SPSS|Tableau,Data Science,5,2200,Intermediate
INT-045,API Development Intern,ConnectHub Software,"Dublin, Leinster",Ireland,Remote,"Design and build RESTful and GraphQL APIs for a developer platform. Write comprehensive API documentation and client SDK examples. Implement rate limiting, authentication, and versioning best practices. Collaborate with frontend and mobile teams to define API contracts.",Python|REST API|GraphQL|SQL|Git,FastAPI|Docker|Postman,Software Engineering,3,1700,Intermediate
INT-046,JAMstack Developer Intern,Atomic Web Studio,"Lisbon, Lisbon",Portugal,Remote,"Build performant static and server-rendered web applications using Next.js and headless CMS platforms. Integrate third-party APIs for payments, authentication, and content management. Optimize for SEO and Core Web Vitals metrics. Collaborate with designers and clients to deliver polished web experiences.",JavaScript|Next.js|React|CSS|Git,TypeScript|GraphQL|Tailwind CSS,Web Development,3,1100,Beginner
INT-047,Multilingual NLP Intern,GlobalLingua AI,"Paris, Île-de-France",France,Hybrid,"Develop cross-lingual NLP models for machine translation and multilingual text classification. Curate and preprocess multilingual datasets from diverse sources. Evaluate translation quality using BLEU and human evaluation. Collaborate with linguists and ML engineers to improve model coverage.",Python|Hugging Face Transformers|NLP|PyTorch|Git,mBERT|XLM-RoBERTa|FastAPI,NLP,5,2100,Advanced
INT-048,Satellite Imagery Analysis Intern,TerraScan Research,"Canberra, ACT",Australia,Remote,"Develop deep learning models for land cover classification from satellite imagery. Preprocess geospatial raster datasets and perform spatial data analysis. Benchmark model performance on public remote sensing datasets. Write technical documentation and contribute to research publications.",Python|OpenCV|TensorFlow|Geospatial Data|NumPy,QGIS|PyTorch|Google Earth Engine,Computer Vision,4,1800,Intermediate
INT-049,Platform Engineering Intern,GridOps Technologies,"Bangalore, Karnataka",India,Hybrid,"Build internal developer platform tooling to improve engineering productivity. Automate service deployment and configuration using Kubernetes operators. Monitor platform SLAs and contribute to reliability improvement initiatives. Collaborate with application teams to gather requirements and prioritize features.",Kubernetes|Python|Docker|Linux|Git,Helm|Golang|Prometheus,DevOps,4,900,Intermediate
INT-050,Cloud Security Intern,NimbusSec Cloud,"Chicago, IL",United States,Remote,"Assess cloud infrastructure configurations for security misconfigurations on AWS and Azure. Implement automated security scanning tools in CI/CD pipelines. Develop remediation playbooks for common cloud security findings. Collaborate with the cloud engineering team to enforce security best practices.",AWS|Azure|Python|Networking|Linux,Terraform|CSPM Tools|Bash,Cybersecurity,3,2100,Beginner
INT-051,Mobile Product Intern,AppVenture Labs,"Seoul, Seoul",South Korea,Hybrid,"Support the mobile product team in defining and prioritizing features for iOS and Android apps. Conduct competitive analysis and user satisfaction surveys. Write detailed user stories and acceptance criteria for engineering. Track feature adoption and report findings in weekly product reviews.",Communication|Jira|Excel|User Research|Analytics,SQL|Figma|Notion,Product Management,3,1300,Beginner
INT-052,Real-Time Analytics Intern,StreamIQ Data,"Hyderabad, Telangana",India,Remote,"Build real-time analytics pipelines processing millions of events per day. Develop Spark Structured Streaming jobs for session and funnel analysis. Monitor and tune pipeline performance for low-latency processing. Document pipeline architecture and maintain runbooks for the data engineering team.",Python|Apache Kafka|Apache Spark|SQL|Linux,Flink|Scala|Docker,Data Engineering,5,850,Intermediate
INT-053,Biomedical NLP Intern,HealthText Research,"Boston, MA",United States,On-site,"Extract clinical entities and relationships from unstructured medical notes using NLP. Fine-tune biomedical language models on annotated clinical datasets. Evaluate model outputs against expert annotations and iterate on improvements. Present research findings to clinical and engineering stakeholders.",Python|spaCy|Hugging Face Transformers|NLP|Git,BioBERT|Label Studio|FastAPI,NLP,4,2600,Advanced
INT-054,Pose Estimation Intern,MotionAI Labs,"Tokyo, Tokyo",Japan,On-site,"Develop human pose estimation models for fitness and rehabilitation applications. Collect and annotate motion capture datasets for model training. Optimize inference speed for real-time mobile deployment. Collaborate with the mobile engineering team on SDK integration.",Python|OpenCV|PyTorch|Computer Vision|NumPy,TensorFlow Lite|ONNX|MediaPipe,Computer Vision,5,1900,Intermediate
INT-055,Reliability Engineering Intern,PivotOps Cloud,"Dublin, Leinster",Ireland,Remote,"Develop automated testing and chaos engineering tools for distributed systems. Monitor system reliability metrics and contribute to SLA reporting. Build self-healing automation scripts for common failure scenarios. Participate in incident post-mortems and implement follow-up action items.",Linux|Python|Docker|Monitoring Tools|Git,Chaos Engineering|Kubernetes|Bash,DevOps,3,1700,Intermediate
INT-056,Digital Forensics Intern,TrustAnchor Security,"Dubai, Dubai",United Arab Emirates,On-site,"Assist in digital forensics investigations including disk image analysis and log correlation. Support incident response activities and document evidence handling procedures. Research forensic analysis techniques for cloud and mobile platforms. Maintain forensics lab tools and contribute to internal training materials.",Linux|Networking|Forensic Tools|Python|Documentation,Autopsy|Volatility|SQL,Cybersecurity,4,2000,Beginner
INT-057,B2B Product Intern,SaaSFlow Ventures,"Munich, Bavaria",Germany,Hybrid,"Research enterprise customer pain points and synthesize into product roadmap recommendations. Create detailed competitive battle cards and market analysis reports. Draft product briefs and work with engineering to define MVP scope. Track product adoption metrics and prepare monthly business reviews.",Communication|Excel|Data Analysis|Jira|Research,SQL|Notion|Salesforce,Product Management,4,1400,Beginner
INT-058,Metadata Management Intern,DataAtlas Solutions,"Bangalore, Karnataka",India,On-site,"Build and maintain data catalog systems to improve data discoverability across the organization. Implement metadata tagging standards and governance policies. Collaborate with data stewards to document data lineage and ownership. Develop APIs to expose metadata to internal analytics tools.",SQL|Python|Data Governance|Git|Documentation,Apache Atlas|dbt|REST API,Data Engineering,3,850,Beginner
INT-059,Causal Inference Research Intern,BehaviorLab Research,"Amsterdam, Netherlands",Netherlands,Remote,"Apply causal inference techniques to evaluate the impact of product interventions. Implement propensity score matching and instrumental variable methods. Collaborate with product and data science teams to design rigorous experiments. Write internal research reports and present findings at team seminars.",Python|Statistics|R|Causal Inference|Research Methods,SQL|Bayesian Methods|Pandas,Research,5,2700,Advanced
INT-060,Quantitative Research Intern,AlphaSignal Capital,"Hong Kong",Hong Kong,On-site,"Research and develop systematic trading signals from alternative and traditional data sources. Build and validate statistical models for return prediction and factor construction. Collaborate with portfolio management on signal integration. Maintain Python research libraries and internal research documentation.",Python|Statistics|Pandas|Financial Modeling|SQL,R|Time Series Analysis|Bloomberg API,Finance Tech,4,3000,Advanced
INT-061,Transfer Learning Intern,MetaLearn AI,"Toronto, Ontario",Canada,Remote,"Investigate transfer learning and domain adaptation strategies for low-resource scenarios. Benchmark pre-trained models on domain-specific classification tasks. Contribute to the development of internal fine-tuning frameworks. Present weekly updates and contribute to technical blog posts.",Python|PyTorch|Deep Learning|NumPy|Git,Hugging Face Transformers|scikit-learn|Weights & Biases,Machine Learning,4,2100,Intermediate
INT-062,Market Research Analyst Intern,InsightPulse Analytics,"Sydney, New South Wales",Australia,Hybrid,"Collect and analyze quantitative and qualitative market data for client reports. Build predictive models to forecast market trends and customer segments. Create compelling data visualizations and presentations for client delivery. Collaborate with the consulting team on project scoping and analysis design.",Python|SQL|Statistics|Data Visualization|Excel,R|Tableau|Power BI,Data Science,3,1600,Beginner
INT-063,Compiler Engineering Intern,ByteForge Systems,"Shenzhen, Guangdong",China,On-site,"Contribute to the development of an LLVM-based compiler optimization pass. Implement and test IR transformations for performance improvements. Write benchmarks to evaluate optimization effectiveness. Collaborate with the compilers team on design reviews and code contributions.",C++|Compilers|LLVM|Git|Systems Programming,Python|CMake|Assembly,Software Engineering,5,1600,Advanced
INT-064,CMS Web Development Intern,ContentFlow Agency,"Madrid, Community of Madrid",Spain,Remote,"Build and customize content management system integrations for client websites. Develop reusable frontend components using Vue.js and Tailwind CSS. Integrate headless CMS APIs with custom frontend rendering. Maintain code quality through code reviews and automated testing.",JavaScript|Vue.js|HTML|CSS|REST API,TypeScript|Git|Tailwind CSS,Web Development,3,1000,Beginner
INT-065,Question Answering Intern,KnowledgeBot AI,"London, England",United Kingdom,Remote,"Build open-domain question answering systems using retrieval-augmented generation approaches. Index and manage large knowledge bases for efficient semantic search. Fine-tune reader models on domain-specific QA datasets. Evaluate system accuracy and document error analysis findings.",Python|Hugging Face Transformers|NLP|PyTorch|FAISS,RAG|LangChain|FastAPI,NLP,4,2400,Advanced
