internship_id,title,company,location,country,location_type,description,required_skills,preferred_skills,domain,duration_months,stipend_usd,experience_level
INT-066,Defect Detection Vision Intern,QualityEye Inspection,"Munich, Bavaria",Germany,On-site,"Develop anomaly detection and defect classification models for manufacturing quality control. Collect and label industrial imaging datasets. Deploy vision models on edge hardware for real-time inspection. Write technical documentation and present results to manufacturing stakeholders.",Python|OpenCV|TensorFlow|NumPy|Computer Vision,PyTorch|ONNX|C++,Computer Vision,6,1700,Intermediate
INT-067,SecOps Automation Intern,GuardianOps Cloud,"Tel Aviv, Tel Aviv District",Israel,Hybrid,"Automate security operations workflows using SOAR platforms. Develop detection rules for SIEM systems based on threat intelligence feeds. Build dashboards to visualize security KPIs for the SOC team. Collaborate with threat hunters and incident responders on automation priorities.",Python|SIEM Tools|Bash|Networking|Linux,Splunk|Ansible|REST API,Cybersecurity,3,2100,Intermediate
INT-068,Enterprise Product Intern,Nexus Enterprise Software,"New York, NY",United States,On-site,"Conduct discovery sessions with enterprise customers to identify product gaps and opportunities. Document and prioritize product requirements in collaboration with engineering leads. Develop feature release notes and customer-facing documentation. Analyze product telemetry data to validate feature adoption.",Communication|Jira|Data Analysis|Excel|SQL,Salesforce|Notion|Tableau,Product Management,4,2600,Advanced
INT-069,Feature Store Intern,DataOps Accelerator,"Bangalore, Karnataka",India,Remote,"Design and implement a feature store for machine learning workflows to improve feature reuse. Build APIs to register, version, and serve features to training and inference pipelines. Monitor feature data quality and freshness with automated alerting. Document feature catalog and onboarding guides for data science teams.",Python|SQL|Apache Spark|Git|REST API,Feast|Redis|Airflow,Data Engineering,4,900,Intermediate
INT-070,Explainability Research Intern,TrustML Institute,"Paris, Île-de-France",France,Remote,"Research interpretability methods including SHAP, LIME, and attention visualization for complex ML models. Implement and compare explanation techniques across model types. Write research papers and internal technical reports on findings. Present at monthly institute-wide research seminars.",Python|PyTorch|Machine Learning|Statistics|Research Methods,SHAP|LIME|Jupyter,Research,5,2500,Advanced
INT-071,Derivatives Pricing Intern,OptiRisk Finance,Singapore,Singapore,On-site,"Develop numerical methods for pricing exotic derivatives including Monte Carlo simulations. Build automated pricing tools and integrate with risk management systems. Validate pricing models against market benchmarks. Collaborate with quant analysts and traders on model governance.",Python|MATLAB|Statistics|Financial Modeling|NumPy,R|C++|Excel,Finance Tech,4,2600,Intermediate
INT-072,Anomaly Detection Intern,Sentinel AI Labs,"Seattle, WA",United States,Remote,"Develop unsupervised and semi-supervised anomaly detection models for time series data. Evaluate models on benchmark datasets and real-world production logs. Collaborate with the platform team to integrate models into monitoring pipelines. Write technical documentation and contribute to open-source tooling.",Python|scikit-learn|PyTorch|Time Series|Statistics,TensorFlow|SQL|Docker,Machine Learning,4,2500,Intermediate
INT-073,Clinical Data Science Intern,BioStat Research Group,"Basel, Basel-Stadt",Switzerland,On-site,"Analyze clinical trial data to evaluate drug efficacy and safety outcomes. Build statistical models and perform survival analysis on patient cohorts. Ensure analyses meet regulatory standards for clinical data reporting. Collaborate with biostatisticians and clinical scientists on study design.",R|Statistics|SQL|SAS|Clinical Data,Python|Survival Analysis|SPSS,Data Science,6,2200,Intermediate
INT-074,Microservices Developer Intern,ServiceMesh Labs,"Amsterdam, Netherlands",Netherlands,Hybrid,"Design and implement microservices for a cloud-native platform using Go. Build gRPC and REST interfaces and write thorough API documentation. Implement circuit breakers and retry logic for service resilience. Participate in architecture reviews and contribute to engineering standards.",Go|REST API|gRPC|Docker|Kubernetes,Linux|Git|SQL,Software Engineering,4,1900,Intermediate
INT-075,Progressive Web App Intern,WebSpark Technologies,"Cape Town, Western Cape",South Africa,Remote,"Build progressive web applications with offline capabilities and push notifications. Optimize performance using service workers and lazy loading strategies. Implement responsive layouts for diverse screen sizes and devices. Collaborate with backend engineers to design efficient API consumption patterns.",JavaScript|React|HTML|CSS|Service Workers,TypeScript|IndexedDB|Git,Web Development,3,800,Beginner
INT-076,Dialogue Systems Intern,ChatCore AI,"Stockholm, Stockholm",Sweden,Hybrid,"Develop end-to-end dialogue management systems for customer service automation. Train and evaluate intent recognition and slot filling models. Build conversation analytics dashboards to monitor bot performance. Collaborate with product and customer success teams on dialogue flow design.",Python|NLP|Machine Learning|Rasa|Git,SQL|FastAPI|Hugging Face Transformers,NLP,3,2000,Intermediate
INT-077,Video Analytics Intern,StreamVision AI,"Los Angeles, CA",United States,On-site,"Develop video understanding models for action recognition and scene classification. Preprocess and annotate large video datasets for model training. Benchmark model performance on standard video datasets. Collaborate with the platform team on real-time video inference infrastructure.",Python|OpenCV|PyTorch|Computer Vision|NumPy,TensorFlow|CUDA|FFmpeg,Computer Vision,5,2800,Advanced
INT-078,FinOps Intern,CloudCost Optimizer,"Dublin, Leinster",Ireland,Remote,"Analyze cloud infrastructure costs and identify optimization opportunities across AWS, GCP, and Azure. Build automated cost allocation and chargeback reporting tools. Develop dashboards for engineering team budget visibility. Collaborate with engineering leads to implement cost reduction recommendations.",AWS|GCP|Python|Excel|Linux,Terraform|SQL|Azure,DevOps,3,1700,Beginner
INT-079,Red Team Intern,OffensiveSec Labs,"Berlin, Germany",Germany,On-site,"Participate in authorized red team exercises targeting enterprise network infrastructure. Perform social engineering assessments and phishing simulation campaigns. Document attack chains and write detailed reports for blue team remediation. Study and apply MITRE ATT&CK framework techniques.",Linux|Networking|Ethical Hacking|Python|Kali Linux,Metasploit|OSINT|Cobalt Strike,Cybersecurity,4,1800,Advanced
INT-080,AI Product Strategy Intern,QuantumLeap AI,"San Francisco, CA",United States,Hybrid,"Research AI market trends and competitive landscape for strategic product planning. Define use cases and value propositions for new AI-powered product features. Collaborate with research and engineering teams to assess technical feasibility. Prepare executive briefings and product strategy presentations.",Communication|Research|Data Analysis|Excel|Presentation,SQL|Notion|Figma,Product Management,3,2600,Intermediate
INT-081,Graph Data Engineering Intern,NetGraph Analytics,"Warsaw, Masovian",Poland,Remote,"Build and maintain graph database pipelines using Neo4j for network analysis applications. Develop ETL workflows to ingest relational data into graph structures. Write Cypher queries for complex graph traversals and analytics. Document graph data models and collaborate with data scientists on feature extraction.",Python|SQL|Neo4j|ETL|Git,Apache Spark|Cypher|Docker,Data Engineering,4,900,Beginner
INT-082,Meta-Learning Research Intern,AdaptNet Research,"Cambridge, England",United Kingdom,On-site,"Investigate few-shot and meta-learning approaches for rapid model adaptation. Implement meta-learning algorithms including MAML and Prototypical Networks. Benchmark approaches on standard few-shot learning datasets. Write technical reports and contribute to academic publication submissions.",Python|PyTorch|Deep Learning|Research Methods|Git,JAX|NumPy|LaTeX,Research,6,2800,Advanced
INT-083,Payments Technology Intern,PayRoute FinTech,Singapore,Singapore,Hybrid,"Develop backend services for a real-time payments processing platform. Build fraud detection integrations and transaction monitoring dashboards. Collaborate with compliance and security teams on regulatory requirements. Write technical specifications and participate in code reviews.",Python|SQL|REST API|Git|Payments Systems,Java|Docker|Redis,Finance Tech,4,2200,Intermediate
INT-084,AutoML Intern,AutoTune AI,"Toronto, Ontario",Canada,Remote,"Research and implement automated machine learning pipelines for hyperparameter optimization. Integrate Bayesian optimization and neural architecture search techniques. Benchmark AutoML approaches on diverse ML tasks. Contribute to open-source AutoML tooling and write tutorial documentation.",Python|scikit-learn|PyTorch|Machine Learning|Git,Optuna|Ray Tune|Docker,Machine Learning,4,2000,Intermediate
INT-085,Epidemiology Data Intern,PublicHealth Analytics,"Geneva, Geneva",Switzerland,On-site,"Analyze public health surveillance data to monitor disease trends and outbreak patterns. Build statistical and predictive models for epidemiological forecasting. Create geospatial visualizations of health indicator data. Collaborate with WHO and partner organizations on data sharing and reporting.",Python|R|Statistics|SQL|Epidemiology,GIS|Tableau|Excel,Data Science,5,2000,Intermediate
INT-086,Platform API Intern,DevHub Technologies,"Austin, TX",United States,Hybrid,"Build and maintain developer-facing APIs for a cloud platform serving thousands of enterprise clients. Write and maintain comprehensive API reference documentation. Implement SDK improvements based on developer feedback. Collaborate with developer relations and engineering teams on platform features.",Python|REST API|SQL|Git|Documentation,FastAPI|Docker|OpenAPI,Software Engineering,3,2100,Intermediate
INT-087,Web Performance Intern,FastLoad Agency,"Barcelona, Catalonia",Spain,Remote,"Audit and optimize web application performance including rendering, loading, and runtime efficiency. Implement code splitting, lazy loading, and caching strategies. Conduct performance testing using Lighthouse and WebPageTest. Document performance improvement results and best practices.",JavaScript|HTML|CSS|Web Performance|Git,React|Webpack|Chrome DevTools,Web Development,3,1100,Intermediate
INT-088,Semantic Search Intern,SearchCore AI,"Hyderabad, Telangana",India,Remote,"Build semantic search systems using dense retrieval and reranking approaches. Develop and maintain vector indexes for large document corpora. Fine-tune embedding models for domain-specific retrieval tasks. Evaluate retrieval quality using standard IR benchmarks.",Python|NLP|Hugging Face Transformers|FAISS|Git,Elasticsearch|FastAPI|Docker,NLP,4,900,Intermediate
INT-089,Augmented Reality Vision Intern,ARSpace Labs,"Tokyo, Tokyo",Japan,On-site,"Develop computer vision pipelines for real-time AR object tracking and scene understanding. Implement SLAM and depth estimation algorithms for AR applications. Optimize vision models for mobile GPU deployment. Collaborate with the AR engineering team on SDK integration.",Python|OpenCV|C++|Computer Vision|SLAM,PyTorch|CUDA|ARKit,Computer Vision,6,2100,Advanced
INT-090,Kubernetes Platform Intern,OrchestOps Solutions,"Melbourne, Victoria",Australia,Hybrid,"Extend and maintain an internal Kubernetes platform serving 50+ engineering teams. Develop custom operators and admission webhooks using Go. Build self-service tooling to reduce operational burden on the platform team. Contribute to platform documentation and onboarding materials.",Kubernetes|Go|Docker|Linux|Git,Helm|Python|Prometheus,DevOps,4,1800,Intermediate
INT-091,Bug Bounty Research Intern,VulnTrack Security,"Cape Town, Western Cape",South Africa,Remote,"Research and reproduce vulnerabilities in web and API targets under a structured bug bounty program. Write clear and reproducible proof-of-concept exploit reports. Contribute to internal vulnerability knowledge base and CVE tracking. Collaborate with the security research team on disclosure coordination.",Python|Burp Suite|Networking|Linux|Ethical Hacking,OWASP|REST API|Bash,Cybersecurity,3,1200,Beginner
INT-092,Platform Product Intern,BuildRight Platform Co,"Sydney, New South Wales",Australia,Hybrid,"Define and prioritize features for a developer productivity platform. Conduct usability studies with internal engineering teams. Write product requirement documents and collaborate with design and engineering. Analyze platform usage telemetry and report on adoption metrics.",Communication|Jira|User Research|SQL|Excel,Figma|Notion|Amplitude,Product Management,3,1700,Beginner
INT-093,Observability Intern,MonitorStack Technologies,"Seoul, Seoul",South Korea,Remote,"Build and maintain distributed tracing and logging pipelines for a cloud-native application. Develop dashboards for system health and user journey analysis. Implement alerting rules and on-call runbooks. Collaborate with engineering teams to improve observability coverage.",Python|SQL|Prometheus|Grafana|Linux,OpenTelemetry|Elasticsearch|Docker,Data Engineering,4,1300,Beginner
INT-094,Geometric Deep Learning Intern,GraphMind Research,"Oxford, England",United Kingdom,Remote,"Research graph neural network architectures for molecular property prediction. Implement GNN models and benchmark on standard molecular datasets. Contribute to research publications and present at internal seminars. Maintain reproducible experiment codebases using MLflow.",Python|PyTorch|Graph Neural Networks|Research Methods|NumPy,DGL|PyG|LaTeX,Research,6,2700,Advanced
INT-095,Insurtech Intern,CoverSmart FinTech,"Frankfurt, Hesse",Germany,On-site,"Build predictive models for insurance risk scoring and pricing optimization. Analyze policyholder data to identify fraud patterns and anomalies. Collaborate with actuarial and data science teams on model development. Present model validation results to risk and compliance stakeholders.",Python|SQL|Statistics|Pandas|Machine Learning,R|Excel|scikit-learn,Finance Tech,4,1600,Intermediate
INT-096,Self-Supervised Learning Intern,RepLearn AI,"San Francisco, CA",United States,Remote,"Research self-supervised pre-training methods including contrastive learning and masked autoencoders. Implement and evaluate SSL approaches for vision and language tasks. Maintain reproducible benchmarking pipelines. Contribute to internal research presentations and technical blog posts.",Python|PyTorch|Deep Learning|Research Methods|Git,JAX|Weights & Biases|NumPy,Machine Learning,5,2700,Advanced
INT-097,Retail Analytics Intern,ShelfSense Analytics,"Dubai, Dubai",United Arab Emirates,Hybrid,"Analyze point-of-sale and customer loyalty data to identify sales trends and opportunities. Build demand forecasting models for inventory optimization. Create dashboards for store performance monitoring. Collaborate with category managers and operations teams on insights delivery.",Python|SQL|Excel|Statistics|Pandas,Power BI|Tableau|R,Data Science,3,1500,Beginner
INT-098,Developer Tools Intern,CodeLens Software,"Toronto, Ontario",Canada,Remote,"Build IDE plugins and developer tooling to improve code quality and productivity. Integrate static analysis and linting tools into CI/CD workflows. Write documentation and tutorials for developer tool adoption. Gather developer feedback and iterate on tooling improvements.",Python|JavaScript|Git|REST API|Documentation,Node.js|Docker|VS Code API,Software Engineering,3,1900,Beginner
INT-099,Accessibility Engineering Intern,IncludeWeb Agency,"Amsterdam, Netherlands",Netherlands,Remote,"Audit web applications for WCAG 2.1 accessibility compliance and document findings. Implement accessibility improvements across UI components including ARIA roles and keyboard navigation. Write automated accessibility tests using axe-core. Educate development teams on accessibility best practices.",JavaScript|HTML|CSS|Accessibility|Git,React|ARIA|axe-core,Web Development,3,1600,Beginner
INT-100,Knowledge Graph NLP Intern,OntologyAI Research,"Berlin, Germany",Germany,Remote,"Build NLP pipelines to extract entities and relations for knowledge graph construction. Develop coreference resolution and entity linking components. Evaluate information extraction quality against annotated benchmarks. Contribute to research publications on knowledge graph completion.",Python|spaCy|NLP|Knowledge Graphs|Git,Hugging Face Transformers|Neo4j|PyTorch,NLP,5,2200,Advanced
INT-101,Action Recognition Intern,SportVision AI,"Los Angeles, CA",United States,Hybrid,"Develop temporal action recognition models for sports broadcast video analysis. Build video preprocessing pipelines for large-scale sports datasets. Evaluate models across diverse sports categories and lighting conditions. Collaborate with sports analytics clients to define performance requirements.",Python|PyTorch|OpenCV|Computer Vision|NumPy,CUDA|TensorFlow|FFmpeg,Computer Vision,4,2600,Intermediate
INT-102,GitOps Intern,FlowOps Engineering,"Paris, Île-de-France",France,Remote,"Implement GitOps workflows for infrastructure and application deployment using ArgoCD. Maintain Helm charts and Kubernetes manifests across multiple environments. Build automated deployment validation and rollback procedures. Document GitOps best practices and onboard engineering teams.",Git|Kubernetes|Docker|Linux|Helm,ArgoCD|Python|Bash,DevOps,3,1600,Beginner
INT-103,Malware Research Intern,ByteHound Security,"Sydney, New South Wales",Australia,On-site,"Analyze and reverse engineer malware samples using static and dynamic analysis techniques. Build detection signatures for new malware families. Contribute to threat intelligence reports and internal security advisories. Collaborate with the detection engineering team on rule development.",Python|Malware Analysis|Reverse Engineering|Linux|Networking,IDA Pro|Ghidra|YARA,Cybersecurity,4,2000,Intermediate
INT-104,Consumer Product Intern,SparkApp Ventures,"Mumbai, Maharashtra",India,Hybrid,"Conduct user research and usability testing for a consumer mobile application. Define and track product metrics including DAU, retention, and conversion. Write product specs and collaborate with engineering to ship features. Analyze user feedback from app store reviews and support channels.",Communication|User Research|Data Analysis|Excel|Figma,SQL|Jira|Amplitude,Product Management,3,800,Beginner
INT-105,Streaming ETL Intern,DataVelocity Solutions,"Hyderabad, Telangana",India,On-site,"Develop high-throughput ETL pipelines processing clickstream and event data. Implement exactly-once processing guarantees using Apache Flink. Monitor pipeline throughput and optimize for cost efficiency. Maintain pipeline documentation and contribute to data engineering standards.",Python|Apache Flink|Apache Kafka|SQL|Git,Scala|Docker|Airflow,Data Engineering,5,800,Intermediate
INT-106,Active Learning Research Intern,LabelEfficient AI,"London, England",United Kingdom,Remote,"Research active learning strategies to minimize labeling costs for ML model training. Implement query strategies including uncertainty sampling and core-set selection. Benchmark active learning approaches on image and text classification tasks. Publish findings in internal research reports and external venues.",Python|scikit-learn|PyTorch|Research Methods|Statistics,NumPy|Label Studio|Git,Research,5,2600,Intermediate
INT-107,RegTech Intern,ComplianceAI Finance,"Frankfurt, Hesse",Germany,Hybrid,"Build NLP tools to automate regulatory document analysis and compliance monitoring. Develop entity extraction pipelines for financial regulatory filings. Collaborate with compliance officers to validate model outputs. Maintain audit trails and documentation for regulatory reporting.",Python|NLP|SQL|Pandas|Git,Hugging Face Transformers|FastAPI|Excel,Finance Tech,4,1700,Intermediate
INT-108,Neural Architecture Search Intern,DesignNet Research,"Seattle, WA",United States,Remote,"Investigate neural architecture search methods for efficient model design. Implement NAS algorithms including DARTS and evolutionary search. Benchmark discovered architectures on vision and language benchmarks. Contribute to internal research tooling and publish technical reports.",Python|PyTorch|Deep Learning|Research Methods|Git,JAX|NumPy|Weights & Biases,Machine Learning,5,2700,Advanced
INT-109,Behavioral Analytics Intern,HumanData Science,"Copenhagen, Capital Region",Denmark,Remote,"Analyze user behavior data to model engagement patterns and churn predictors. Build segmentation models and cohort analyses for product and marketing teams. Visualize insights using interactive dashboards. Collaborate with data engineers to ensure tracking instrumentation quality.",Python|SQL|Statistics|Pandas|Data Visualization,R|Tableau|Amplitude,Data Science,3,1700,Beginner
INT-110,Embedded Systems Intern,FirmwareTech Labs,"Munich, Bavaria",Germany,On-site,"Develop firmware modules for IoT sensor devices using C and C++. Write hardware abstraction layer drivers for custom peripherals. Debug real-time operating system issues using logic analyzers and oscilloscopes. Collaborate with hardware engineers on bring-up and validation.",C|C++|Embedded Systems|RTOS|Git,Python|Linux|Assembly,Software Engineering,6,1500,Advanced
INT-111,Headless Commerce Intern,CommerceLab Digital,"Madrid, Community of Madrid",Spain,Remote,"Build custom storefronts using headless commerce APIs and React frameworks. Integrate payment, inventory, and shipping APIs for a multi-vendor marketplace. Optimize storefront performance for Core Web Vitals compliance. Participate in sprint reviews and technical design sessions.",JavaScript|React|REST API|HTML|CSS,Next.js|TypeScript|Git,Web Development,4,1100,Intermediate
INT-112,Biomedical Text Mining Intern,GenomeInsight Research,"Basel, Basel-Stadt",Switzerland,On-site,"Mine scientific literature to extract gene-disease associations and drug interactions. Build named entity recognition pipelines for biomedical text. Develop relation extraction models for knowledge graph population. Collaborate with bioinformaticians on downstream analysis applications.",Python|NLP|spaCy|Hugging Face Transformers|Git,BioBERT|Neo4j|SQL,NLP,5,2300,Intermediate
INT-113,Depth Estimation Intern,3DSense Technologies,"Tokyo, Tokyo",Japan,Hybrid,"Develop monocular depth estimation models for indoor navigation applications. Preprocess and augment RGB-D training datasets. Evaluate model accuracy against lidar ground truth measurements. Collaborate with the robotics team on real-world deployment testing.",Python|PyTorch|OpenCV|Computer Vision|NumPy,ROS|CUDA|TensorFlow,Computer Vision,5,2000,Intermediate
INT-114,Infrastructure Security Intern,BastionNet Security,Singapore,Singapore,Remote,"Perform security hardening reviews on cloud and on-premises infrastructure. Develop automated compliance checks using Python and Bash scripts. Build internal tooling for continuous infrastructure security monitoring. Collaborate with DevOps and cloud engineering teams on remediation.",Linux|Python|Bash|Networking|AWS,Terraform|Docker|Ansible,Cybersecurity,4,1600,Intermediate
INT-115,HealthTech Product Intern,CareFlow Digital,"Boston, MA",United States,Hybrid,"Define product requirements for a patient-facing digital health platform. Conduct interviews with clinicians and patients to gather product insights. Collaborate with regulatory and clinical teams on feature feasibility. Track feature delivery and measure clinical outcome metrics.",Communication|User Research|Jira|Excel|Healthcare,SQL|Figma|Notion,Product Management,4,2400,Intermediate
INT-116,Time Series Forecasting Intern,PredictFlow Analytics,"Bangalore, Karnataka",India,Remote,"Build time series forecasting models for retail demand and supply chain optimization. Evaluate classical and deep learning forecasting approaches on benchmark datasets. Develop automated model selection and evaluation pipelines. Document model performance and deployment recommendations.",Python|SQL|Pandas|Time Series|scikit-learn,Prophet|LightGBM|Docker,Data Engineering,4,900,Beginner
INT-117,Neurosymbolic AI Research Intern,SymbolicMind Research,"Oxford, England",United Kingdom,Remote,"Investigate hybrid approaches combining neural networks and symbolic reasoning for structured prediction. Implement neuro-symbolic architectures and evaluate on reasoning benchmarks. Write research reports and prepare conference paper submissions. Engage in weekly group research discussions.",Python|PyTorch|Logic Programming|Research Methods|Git,NumPy|LaTeX|Prolog,Research,6,2800,Advanced
INT-118,WealthTech Intern,PortfolioIQ Finance,"Zurich, Zurich",Switzerland,On-site,"Build robo-advisory algorithms for personalized portfolio construction and rebalancing. Develop risk profiling tools and back-test investment strategies. Collaborate with compliance to ensure regulatory adherence. Write technical documentation for investment algorithms.",Python|Statistics|Pandas|Financial Modeling|SQL,R|Excel|NumPy,Finance Tech,4,2800,Advanced
INT-119,Continual Learning Intern,MemoryNet AI,"Montreal, Quebec",Canada,Remote,"Research catastrophic forgetting mitigation strategies for continual learning systems. Implement regularization-based and memory replay approaches. Benchmark on standard continual learning benchmarks. Contribute to internal technical reports and open-source tool development.",Python|PyTorch|Deep Learning|Research Methods|Git,JAX|NumPy|scikit-learn,Machine Learning,4,2100,Intermediate
INT-120,Geospatial Data Intern,MapData Science,"Cape Town, Western Cape",South Africa,Hybrid,"Build geospatial data pipelines integrating satellite, census, and mobility datasets. Perform spatial analysis and modeling for urban planning and resource allocation. Create interactive map visualizations for stakeholder reporting. Collaborate with government clients on data sharing and governance.",Python|SQL|GIS|Pandas|Data Visualization,QGIS|GeoPandas|Tableau,Data Science,4,900,Beginner
INT-121,SDK Development Intern,DevKit Technologies,"Berlin, Germany",Germany,Remote,"Design and build client SDKs in Python and JavaScript for a developer platform API. Write comprehensive SDK documentation and quickstart examples. Build automated SDK testing pipelines and maintain versioned releases. Gather developer feedback and prioritize SDK improvement roadmap items.",Python|JavaScript|REST API|Git|Documentation,TypeScript|Docker|OpenAPI,Software Engineering,3,1800,Beginner
INT-122,Vue.js Frontend Intern,AppCraft Studio,"Lisbon, Lisbon",Portugal,Remote,"Build and maintain Vue.js components for a SaaS dashboard product. Integrate with REST APIs and manage application state using Vuex. Write unit tests and maintain Storybook component documentation. Participate in design reviews and front-end architecture discussions.",JavaScript|Vue.js|HTML|CSS|Git,TypeScript|Vuex|Storybook,Web Development,3,1000,Beginner
INT-123,Information Extraction Intern,StructureAI Research,"Montreal, Quebec",Canada,Remote,"Build end-to-end information extraction pipelines for structured data extraction from documents. Develop table and form understanding models using layout-aware transformers. Evaluate extraction accuracy on diverse document types. Contribute to internal benchmark datasets and research publications.",Python|NLP|Hugging Face Transformers|PyTorch|Git,LayoutLM|spaCy|FastAPI,NLP,4,2200,Intermediate
INT-124,Scene Understanding Intern,PerceptAI Vision,"Toronto, Ontario",Canada,Hybrid,"Develop semantic segmentation and panoptic segmentation models for autonomous systems. Train models on diverse urban scene datasets and evaluate robustness. Optimize inference performance using model compression techniques. Collaborate with the autonomous navigation team on system integration.",Python|PyTorch|OpenCV|Computer Vision|NumPy,TensorRT|CUDA|Docker,Computer Vision,5,2300,Advanced
INT-125,Cost Optimization Intern,BudgetOps Cloud,"Canberra, ACT",Australia,Remote,"Analyze multi-cloud spending patterns and identify optimization opportunities. Build automated rightsizing recommendations for compute and storage resources. Develop tagging and chargeback policy automation using Python. Collaborate with engineering teams to implement and validate cost savings.",AWS|Python|Excel|Linux|SQL,GCP|Terraform|Azure,DevOps,3,1700,Beginner
INT-126,IoT Security Intern,EdgeGuard Security,"Shenzhen, Guangdong",China,On-site,"Research and assess security vulnerabilities in IoT devices and communication protocols. Perform firmware extraction and analysis on embedded devices. Develop detection rules for anomalous IoT network behavior. Write vulnerability reports and contribute to internal IoT security guidelines.",Linux|Networking|Python|Firmware Analysis|Embedded Systems,Wireshark|MQTT|Bash,Cybersecurity,4,1300,Intermediate
INT-127,Monetization Product Intern,RevStream Digital,"Chicago, IL",United States,Hybrid,"Analyze subscription and monetization funnel data to identify revenue growth opportunities. Design and run A/B tests on pricing page and paywall experiences. Collaborate with engineering and design to implement monetization features. Present revenue impact analysis to the leadership team.",SQL|Analytics|Excel|Communication|A/B Testing,Python|Tableau|Stripe API,Product Management,3,2200,Intermediate
INT-128,Vector Database Intern,EmbedStore Technologies,"Amsterdam, Netherlands",Netherlands,Remote,"Research and implement vector database architectures for semantic search and retrieval. Benchmark embedding storage and retrieval solutions across latency and recall tradeoffs. Build integrations with ML model serving infrastructure. Write technical documentation and contribute to the open-source community.",Python|SQL|FAISS|Git|REST API,PostgreSQL|Docker|NumPy,Data Engineering,4,1700,Intermediate
INT-129,Causal ML Research Intern,CausalAI Lab,"London, England",United Kingdom,Remote,"Apply causal machine learning methods for heterogeneous treatment effect estimation. Implement and compare doubly-robust estimators and meta-learners. Contribute to reproducible benchmarking frameworks for causal inference. Write academic papers and present at internal research workshops.",Python|R|Causal Inference|Statistics|Research Methods,PyTorch|EconML|LaTeX,Research,6,2800,Advanced
INT-130,Credit Scoring Intern,LendSmart Finance,"Mumbai, Maharashtra",India,On-site,"Develop credit scoring models for underserved borrower segments using alternative data. Build feature engineering pipelines for transactional and behavioral data. Validate model fairness and bias using standard fairness metrics. Collaborate with risk and product teams on model governance.",Python|SQL|Statistics|scikit-learn|Pandas,XGBoost|Excel|R,Finance Tech,4,900,Intermediate
INT-131,Efficient ML Intern,LightNet AI,"Seattle, WA",United States,Remote,"Research model compression techniques including pruning, quantization, and knowledge distillation. Benchmark compressed models on accuracy-efficiency tradeoffs. Implement efficient inference pipelines for edge deployment. Contribute to internal tools for automated model optimization.",Python|PyTorch|Deep Learning|NumPy|Git,ONNX|TensorRT|TensorFlow Lite,Machine Learning,4,2600,Advanced
INT-132,Operations Analytics Intern,LogiSense Analytics,"Dubai, Dubai",United Arab Emirates,Hybrid,"Analyze logistics and supply chain operational data to identify efficiency improvements. Build optimization models for routing, inventory, and capacity planning. Create dashboards for operations management reporting. Collaborate with supply chain and operations teams on data-driven decision-making.",Python|SQL|Statistics|Operations Research|Excel,R|Tableau|Power BI,Data Science,3,1500,Intermediate
